sample_accession,isolate
SAMEA2204231,11658_4#2
SAMEA2204244,11657_5#3
SAMEA2204271,11658_8#26
SAMEA2204274,11658_5#13
SAMEA2204275,11658_6#9
SAMEA2204281,11658_6#11
SAMEA2204284,11658_8#27
SAMEA2204286,11658_7#6
SAMEA2204287,11791_7#9
SAMEA2204288,11791_7#10
SAMEA2204293,11658_4#6
SAMEA2204291,11791_7#11
SAMEA2204295,11657_6#2
SAMEA2204297,11658_6#15
SAMEA2204296,11658_6#14
SAMEA2204302,11658_6#16
SAMEA2204304,11658_8#30
SAMEA2204307,11791_7#14
SAMEA2204303,11658_7#9
SAMEA2204317,11658_6#19
SAMEA2204325,11657_6#3
SAMEA2204345,11791_7#16
SAMEA2204364,11658_5#32
SAMEA2204377,11658_7#19
SAMEA2204378,11658_6#27
SAMEA2204381,11658_4#17
SAMEA2204385,11657_5#8
SAMEA2204395,11657_5#9
SAMEA2204390,11679_6#1
SAMEA2204399,11791_6#7
SAMEA2204403,11658_6#31
SAMEA2204405,11658_5#41
SAMEA2204413,11657_7#1
SAMEA2204416,11658_5#42
SAMEA2204415,11658_7#26
SAMEA2204414,11658_6#34
SAMEA2204417,11658_8#43
SAMEA2204418,11657_5#10
SAMEA2204421,11679_7#1
SAMEA2204434,11679_5#2
SAMEA2204432,11679_6#2
SAMEA2204433,11679_6#3
SAMEA2204436,11658_3#4
SAMEA2204440,11679_6#4
SAMEA2204446,11657_7#6
SAMEA2204450,11657_7#7
SAMEA2204454,11657_6#14
SAMEA2204467,11658_3#6
SAMEA2204478,11679_7#6
SAMEA2204477,11679_5#4
SAMEA2204475,11658_3#8
SAMEA2204482,11658_3#9
SAMEA2204487,11679_4#8
SAMEA2204488,11657_6#18
SAMEA2204489,11679_5#5
SAMEA2204496,11658_3#11
SAMEA2204490,11679_4#9
SAMEA2204494,11679_6#8
SAMEA2204501,11679_6#10
SAMEA2204502,11679_7#9
SAMEA2204499,11679_7#8
SAMEA2204514,11658_6#36
SAMEA2204525,11658_6#39
SAMEA2204521,11679_6#12
SAMEA2204536,11658_8#47
SAMEA2204541,11658_8#50
SAMEA2204551,11791_7#27
SAMEA2204549,11791_7#26
SAMEA2204546,11791_7#25
SAMEA2204563,11658_7#30
SAMEA2204566,11658_6#48
SAMEA2204571,11658_4#22
SAMEA2204564,11658_5#50
SAMEA2204590,11658_7#32
SAMEA2204589,11679_8#8
SAMEA2204593,11658_5#57
SAMEA2204607,11657_5#23
SAMEA2204603,11679_6#14
SAMEA2204606,11657_5#22
SAMEA2204620,11679_7#11
SAMEA2204629,11679_5#12
SAMEA2204628,11679_5#11
SAMEA2204634,11679_7#13
